Número,Número de lote,Nº documento,Liberado,Picking efectuado,,
5365440022,3314002369,10001545,176,1,,5365440022 3314002369
6308253,B240009313,10001546,5,5,,6308253 B240009313
6478007,E96304,10001547,5,5,,6478007 E96304
6478098,H251501/E (1),10001547,1,1,,6478098 H251501/E (1)
6572957,H243103/E,10001547,3,3,,6572957 H243103/E
5366115018,18054232 (5),10001548,1,1,,
6572932,H250802/E,10001548,1,1,,
6478098,H251501/E (1),10001548,3,3,,
6478098,H251501/E (1),10001532,2,2,,
6478007,E96304,10001532,2,2,,
6572932,H250802/E,10001532,1,1,,
6714070,M350902,10001504,1,1,,
6714054,E45596,10001488,1,1,,
6714062,E140726,10001488,1,1,,
6714070,M350902,10001488,1,1,,
6714088,M362828,10001488,1,1,,
6572940,H244004/E,10001487,2,2,,
6714070,M350902,10001470,1,1,,
6714088,M357884,10001470,1,1,,
6714062,E140726,10001464,1,1,,
6714070,M350902,10001464,1,1,,
6714088,M362828,10001464,1,1,,
6714054,E45596,10001464,1,1,,
6387067,DLI16102025,10001464,3,3,,10001464
